week_start_date,product_id,product_name,brand,category,pack_size_ml,unit_price,store_id,store_name,region,city,store_format,opening_stock,units_received,units_sold,closing_stock,stockout_flag,revenue,promotion_flag,promotion_type,discount_pct
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR001,Store 1,West,East Nichole,Hypermarket,112,29,92,49,False,4324.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR002,Store 2,South,New Sharon,Convenience,156,105,130,131,False,6110.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR003,Store 3,North,Timothybury,Supermarket,319,150,124,345,False,4196.16,True,BOGO,0.28
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR004,Store 4,South,Waltertown,Supermarket,395,132,59,468,False,2162.94,True,BOGO,0.22
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR005,Store 5,East,Loristad,Hypermarket,323,91,80,334,False,3760.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR006,Store 6,East,North Johnton,Hypermarket,226,41,101,166,False,3750.13,True,Bundle,0.21
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR007,Store 7,East,Mendozaview,Wholesale,367,46,52,361,False,2444.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR008,Store 8,South,West Michele,Convenience,375,190,149,416,False,7003.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR009,Store 9,North,Riosfurt,Hypermarket,272,44,84,232,False,3948.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR010,Store 10,West,South Rhondaborough,Supermarket,225,61,138,148,False,6486.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR011,Store 11,East,Gregoryburgh,Wholesale,217,146,90,273,False,3595.5,True,BOGO,0.15
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR012,Store 12,East,North Jessicachester,Supermarket,334,36,175,195,False,6991.25,True,Display,0.15
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR013,Store 13,South,Keithstad,Convenience,108,52,89,71,False,4183.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR014,Store 14,West,West Crystalside,Convenience,334,48,113,269,False,4726.79,True,BOGO,0.11
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR015,Store 15,South,South Carol,Hypermarket,349,116,58,407,False,2726.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR016,Store 16,North,New Andrea,Wholesale,130,84,50,164,False,2350.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR017,Store 17,South,Wendyfort,Convenience,104,89,198,0,True,7630.92,True,BOGO,0.18
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR018,Store 18,West,Harrellview,Wholesale,270,33,96,207,False,4512.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR019,Store 19,West,Kristiland,Hypermarket,114,175,64,225,False,3008.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR020,Store 20,South,New Jessicaberg,Wholesale,163,122,86,199,False,4042.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR021,Store 21,South,Smithside,Hypermarket,352,196,74,474,False,3478.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR022,Store 22,East,Caitlinland,Wholesale,359,145,62,442,False,2914.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR023,Store 23,South,Andersonland,Convenience,199,98,79,218,False,2784.75,True,BOGO,0.25
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR024,Store 24,East,Port Patriciabury,Hypermarket,247,189,131,305,False,6157.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR025,Store 25,South,Johnfort,Hypermarket,190,135,126,199,False,5922.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR026,Store 26,North,New Davidfort,Wholesale,237,117,61,293,False,2350.94,True,Price Cut,0.18
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR027,Store 27,East,Wesleystad,Convenience,242,102,91,253,False,4277.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR028,Store 28,East,Thomasmouth,Hypermarket,170,146,98,218,False,3408.44,True,BOGO,0.26
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR029,Store 29,East,New Kenneth,Hypermarket,119,49,55,113,False,2585.0,False,,0.0
2024-01-01,BEV001,Product 1,Brand 2,Juice,500,47,STR030,Store 30,West,Jasonland,Hypermarket,375,30,79,326,False,3713.0,False,,0.0
